id,winner,majority
E14000530,Con,32.26
E14000531,Con,29.68
E14000532,Con,26.31
E14000533,Con,9.20
E14000534,Con,46.35
E14000535,Lab,18.60
E14000536,Con,33.63
E14000537,Lab,27.64
E14000538,Con,30.96
E14000539,Con,31.71
E14000540,Lab,35.48
E14000541,Lab,34.01
E14000542,Lab,31.24
E14000543,Lab,1.84
E14000544,Con,29.01
E14000545,Con,20.84
E14000546,Lab,17.94
E14000547,Con,8.13
E14000548,Lab,12.00
E14000549,Con,15.56
E14000550,Con,49.49
E14000551,Con,37.85
E14000552,Con,2.38
E14000553,Lab,8.73
E14000554,Con,12.16
E14000555,Lab,45.95
E14000556,Con,23.17
E14000557,Con,36.36
E14000558,Con,21.04
E14000559,Lab,52.76
E14000560,Lab,6.55
E14000561,Lab,14.79
E14000562,Lab,42.12
E14000563,Lab,56.93
E14000564,Lab,60.89
E14000565,Lab,5.91
E14000566,Lab,35.94
E14000567,Lab,18.65
E14000568,Lab,16.03
E14000569,Lab,8.91
E14000570,Lab,29.00
E14000571,Lab,45.47
E14000572,Con,8.48
E14000573,Lab,7.97
E14000574,Lab,31.66
E14000575,Lab,24.00
E14000576,Con,29.60
E14000577,Lab,26.77
E14000578,Lab,10.14
E14000579,Lab,26.82
E14000580,Con,1.65
E14000581,Lab,63.57
E14000582,Con,10.00
E14000583,Con,20.51
E14000584,Con,32.60
E14000585,Con,29.71
E14000586,Con,38.90
E14000587,Lab,17.11
E14000588,Lab,17.15
E14000589,Lab,27.85
E14000590,Con,35.02
E14000591,Lab,41.78
E14000592,Lab,20.74
E14000593,Lab,0.81
E14000594,Con,42.03
E14000595,Con,26.78
E14000596,Con,25.83
E14000597,Con,1.52
E14000598,Grn,14.57
E14000599,Lab,8.61
E14000600,Con,9.54
E14000601,Lab,14.02
E14000602,Lab,8.83
E14000603,Con,31.72
E14000604,Con,30.78
E14000605,Con,31.64
E14000606,Con,36.34
E14000607,Con,8.02
E14000608,Spk,42.73
E14000609,Lab,8.16
E14000610,Con,22.24
E14000611,Con,0.84
E14000612,Lab,10.42
E14000613,Con,35.90
E14000614,Con,8.27
E14000615,Lab,50.08
E14000616,Con,15.27
E14000617,Lab,1.16
E14000618,Con,10.45
E14000619,Con,18.33
E14000620,Con,6.51
E14000621,LD,3.17
E14000622,Con,19.66
E14000623,Con,39.06
E14000624,Con,37.24
E14000625,Con,32.40
E14000626,Con,26.59
E14000627,Con,12.15
E14000628,Con,33.91
E14000629,Con,39.83
E14000630,Con,12.13
E14000631,Con,45.36
E14000632,Lab,29.84
E14000633,Con,42.73
E14000634,Con,19.14
E14000635,Con,18.19
E14000636,Con,14.44
E14000637,Lab,8.76
E14000638,Con,36.66
E14000639,Con,26.73
E14000640,Lab,0.18
E14000641,Lab,25.05
E14000642,UKIP,7.77
E14000643,Con,17.51
E14000644,Con,11.47
E14000645,Con,9.47
E14000646,Con,32.90
E14000647,Lab,6.47
E14000648,Con,4.29
E14000649,Lab,29.06
E14000650,Lab,9.97
E14000651,Lab,7.30
E14000652,Con,13.44
E14000653,Con,7.26
E14000654,Con,0.31
E14000655,Lab,39.92
E14000656,Con,29.70
E14000657,Lab,11.57
E14000658,Lab,7.68
E14000659,Con,23.55
E14000660,Con,40.10
E14000661,Lab,27.17
E14000662,Con,0.09
E14000663,Lab,21.63
E14000664,Con,29.65
E14000665,Con,42.34
E14000666,Lab,2.71
E14000667,Lab,20.91
E14000668,Lab,24.97
E14000669,Lab,29.82
E14000670,Con,12.53
E14000671,Lab,11.00
E14000672,Con,11.18
E14000673,Lab,31.39
E14000674,Lab,0.54
E14000675,Lab,25.41
E14000676,Lab,43.30
E14000677,Lab,42.29
E14000678,Con,22.41
E14000679,Lab,65.50
E14000680,Con,48.69
E14000681,Con,40.39
E14000682,Con,29.96
E14000683,Con,29.87
E14000684,Con,1.39
E14000685,Con,16.48
E14000686,Con,27.40
E14000687,Lab,37.30
E14000688,Lab,13.43
E14000689,Con,14.69
E14000690,Lab,6.24
E14000691,Lab,2.35
E14000692,Con,10.38
E14000693,Con,36.43
E14000694,Con,42.78
E14000695,Con,7.42
E14000696,Lab,22.35
E14000697,Con,50.22
E14000698,Lab,13.30
E14000699,Con,40.70
E14000700,Con,36.36
E14000701,Lab,23.20
E14000702,Con,20.04
E14000703,Con,11.15
E14000704,Con,25.08
E14000705,Con,22.19
E14000706,Con,30.36
E14000707,Con,31.36
E14000708,Lab,55.42
E14000709,Lab,38.96
E14000710,Lab,6.22
E14000711,Con,22.37
E14000712,Con,13.79
E14000713,Con,35.87
E14000714,Con,35.33
E14000715,Con,16.69
E14000716,Lab,13.46
E14000717,Con,13.84
E14000718,Lab,25.57
E14000719,Con,41.58
E14000720,Lab,48.12
E14000721,Lab,50.89
E14000722,Con,7.03
E14000723,Lab,0.98
E14000724,Con,33.22
E14000725,Lab,45.05
E14000726,Lab,13.59
E14000727,Lab,2.11
E14000728,Con,37.41
E14000729,Con,18.87
E14000730,Con,30.67
E14000731,Con,9.71
E14000732,Lab,4.74
E14000733,Lab,7.66
E14000734,Con,31.33
E14000735,Con,9.42
E14000736,Con,31.05
E14000737,Lab,34.85
E14000738,Con,15.16
E14000739,Con,29.05
E14000740,Lab,28.48
E14000741,Con,7.50
E14000742,Con,45.94
E14000743,Con,35.74
E14000744,Con,38.22
E14000745,Con,36.85
E14000746,Con,27.76
E14000747,Lab,10.92
E14000748,Con,9.64
E14000749,Con,36.22
E14000750,Lab,31.04
E14000751,Con,23.67
E14000752,Lab,19.14
E14000753,Con,43.32
E14000754,Lab,33.61
E14000755,Lab,2.37
E14000756,Lab,18.15
E14000757,Con,34.69
E14000758,Lab,10.26
E14000759,Lab,1.20
E14000760,Lab,38.10
E14000761,Con,7.67
E14000762,Con,19.49
E14000763,Lab,43.05
E14000764,Lab,28.71
E14000765,Lab,35.99
E14000766,Con,6.22
E14000767,Con,43.04
E14000768,Con,21.14
E14000769,Con,26.66
E14000770,Con,4.78
E14000771,Lab,29.36
E14000772,Lab,36.50
E14000773,Lab,29.35
E14000774,Con,18.71
E14000775,Lab,68.32
E14000776,Lab,3.03
E14000777,Lab,37.66
E14000778,Lab,32.81
E14000779,Lab,15.01
E14000780,LD,6.70
E14000781,Lab,27.92
E14000782,Lab,38.18
E14000783,Lab,38.84
E14000784,Lab,20.86
E14000785,Lab,31.24
E14000786,Con,2.14
E14000787,Lab,33.39
E14000788,Lab,26.42
E14000789,Lab,45.37
E14000790,Lab,36.65
E14000791,Con,35.34
E14000792,Con,3.08
E14000793,Lab,55.27
E14000794,Lab,72.33
E14000795,Lab,59.31
E14000796,Lab,66.70
E14000797,Con,17.65
E14000798,Con,29.75
E14000799,Con,39.38
E14000800,Lab,22.33
E14000801,Lab,13.53
E14000802,Con,29.86
E14000803,Con,53.96
E14000804,Con,21.41
E14000805,Lab,29.37
E14000806,Con,45.94
E14000807,Lab,47.74
E14000808,Lab,57.31
E14000809,Lab,29.77
E14000810,Lab,11.26
E14000811,Con,46.24
E14000812,Con,35.73
E14000813,Con,40.18
E14000814,Con,26.76
E14000815,Con,22.65
E14000816,Con,33.09
E14000817,Con,42.24
E14000818,Con,39.31
E14000819,Lab,38.15
E14000820,Lab,4.97
E14000821,Con,16.91
E14000822,Con,14.71
E14000823,Lab,37.49
E14000824,Con,46.16
E14000825,Con,10.61
E14000826,Con,0.87
E14000827,Con,38.75
E14000828,Con,43.46
E14000829,Con,35.32
E14000830,Con,46.02
E14000831,Lab,36.12
E14000832,Lab,31.85
E14000833,Lab,22.62
E14000834,Lab,1.51
E14000835,Con,23.28
E14000836,Lab,33.61
E14000837,Con,13.72
E14000838,Con,13.26
E14000839,Con,39.56
E14000840,Lab,33.99
E14000841,Con,43.71
E14000842,Con,32.59
E14000843,Lab,3.93
E14000844,Con,55.40
E14000845,Con,36.49
E14000846,Con,24.94
E14000847,Con,41.64
E14000848,LD,8.18
E14000849,Con,31.37
E14000850,Con,39.19
E14000851,Con,22.56
E14000852,Con,23.27
E14000853,Lab,36.73
E14000854,Con,6.28
E14000855,Con,32.40
E14000856,Lab,23.49
E14000857,Con,43.38
E14000858,Con,22.06
E14000859,Con,29.44
E14000860,Con,41.63
E14000861,Con,8.23
E14000862,Con,9.75
E14000863,Con,10.24
E14000864,Lab,15.79
E14000865,Lab,33.78
E14000866,Lab,33.56
E14000867,Lab,15.96
E14000868,Con,10.67
E14000869,Con,33.80
E14000870,Lab,13.49
E14000871,Lab,34.17
E14000872,Con,40.75
E14000873,Lab,30.14
E14000874,Con,16.74
E14000875,Con,12.27
E14000876,Lab,14.35
E14000877,Con,45.29
E14000878,Con,4.09
E14000879,Con,2.41
E14000880,Con,1.09
E14000881,Con,33.32
E14000882,Lab,33.16
E14000883,Con,23.21
E14000884,Con,12.51
E14000885,Lab,36.05
E14000886,Con,8.84
E14000887,Con,23.78
E14000888,Con,32.38
E14000889,Con,12.91
E14000890,Con,13.74
E14000891,Lab,25.39
E14000892,Con,16.00
E14000893,Con,43.49
E14000894,Con,26.04
E14000895,Con,36.20
E14000896,Con,38.94
E14000897,Lab,27.39
E14000898,Con,13.58
E14000899,Con,21.73
E14000900,Con,28.18
E14000901,Con,36.60
E14000902,Con,11.53
E14000903,Lab,15.52
E14000904,Lab,22.33
E14000905,Con,21.11
E14000906,Con,39.48
E14000907,Con,44.22
E14000908,Con,25.07
E14000909,Con,39.75
E14000910,Con,43.42
E14000911,Lab,28.99
E14000912,Con,40.27
E14000913,Con,12.99
E14000914,Lab,8.48
E14000915,Lab,17.67
E14000916,Lab,24.17
E14000917,Con,25.67
E14000918,Con,39.03
E14000919,Lab,39.18
E14000920,Lab,29.53
E14000921,Lab,34.47
E14000922,LD,4.24
E14000923,Lab,30.81
E14000924,Con,9.17
E14000925,Con,19.04
E14000926,Con,17.68
E14000927,Con,24.64
E14000928,Con,38.05
E14000929,Con,38.93
E14000930,Lab,15.20
E14000931,Con,23.55
E14000932,Con,33.61
E14000933,Con,16.87
E14000934,Con,33.46
E14000935,Con,22.60
E14000936,Con,24.68
E14000937,Con,28.29
E14000938,Con,33.65
E14000939,Con,37.73
E14000940,Con,31.20
E14000941,Con,35.88
E14000942,Con,43.40
E14000943,Con,11.35
E14000944,Lab,29.27
E14000945,Con,41.07
E14000946,Con,33.80
E14000947,Con,11.74
E14000948,Con,5.69
E14000949,Con,34.72
E14000950,Con,39.92
E14000951,Con,40.62
E14000952,Con,27.66
E14000953,Con,49.99
E14000954,Con,35.18
E14000955,Con,5.18
E14000956,Lab,8.73
E14000957,Con,31.50
E14000958,LD,3.00
E14000959,Con,28.84
E14000960,Con,23.39
E14000961,Con,16.23
E14000962,Lab,37.38
E14000963,Lab,43.89
E14000964,Con,5.11
E14000965,Con,18.82
E14000966,Con,23.89
E14000967,Lab,16.29
E14000968,Con,10.37
E14000969,Lab,25.38
E14000970,Lab,21.14
E14000971,Con,9.74
E14000972,Lab,16.66
E14000973,Lab,12.51
E14000974,Lab,6.49
E14000975,Con,34.55
E14000976,Con,14.54
E14000977,Con,44.45
E14000978,Lab,27.91
E14000979,Lab,25.19
E14000980,Con,8.00
E14000981,Con,33.89
E14000982,Lab,26.77
E14000983,Con,45.57
E14000984,Con,7.86
E14000985,Con,32.28
E14000986,Con,23.96
E14000987,Con,40.27
E14000988,Con,26.76
E14000989,Con,1.80
E14000990,Con,39.70
E14000991,Con,37.90
E14000992,Con,23.64
E14000993,Con,37.15
E14000994,Con,3.08
E14000995,Con,1.08
E14000996,Con,37.52
E14000997,Con,44.22
E14000998,Lab,5.31
E14000999,Con,6.83
E14001000,Con,32.52
E14001001,Con,38.82
E14001002,Lab,55.37
E14001003,Con,27.16
E14001004,Con,44.48
E14001005,Con,3.25
E14001006,Lab,15.40
E14001007,Con,23.87
E14001008,Lab,26.51
E14001009,Lab,6.08
E14001010,Lab,37.70
E14001011,Lab,5.25
E14001012,Lab,14.36
E14001013,Lab,55.50
E14001014,Lab,28.24
E14001015,Con,37.29
E14001016,Lab,38.86
E14001017,Lab,19.65
E14001018,Con,4.63
E14001019,Con,13.06
E14001020,Lab,35.31
E14001021,Con,17.44
E14001022,Con,4.61
E14001023,Con,40.28
E14001024,Con,1.72
E14001025,Con,32.51
E14001026,Con,13.33
E14001027,Con,24.21
E14001028,Lab,32.04
E14001029,Lab,25.26
E14001030,Lab,22.10
E14001031,Con,28.57
E14001032,Lab,53.01
E14001033,Lab,16.83
E14001034,Con,30.44
E14001035,Con,41.73
E14001036,Lab,5.00
E14001037,LD,18.29
E14001038,Con,29.70
E14001039,Lab,31.43
E14001040,Con,26.06
E14001041,Con,30.58
E14001042,Con,50.01
E14001043,Lab,10.99
E14001044,Lab,1.00
E14001045,Con,41.46
E14001046,Con,43.01
E14001047,Con,40.05
E14001048,Con,43.21
E14001049,Lab,16.16
E14001050,Lab,31.00
E14001051,Lab,1.99
E14001052,Con,11.35
E14001053,Lab,12.18
E14001054,Lab,14.14
E14001055,Con,33.20
E14001056,Con,28.88
E14001057,Con,28.36
E14001058,Con,26.03
E14001059,Lab,24.43
E14001060,Con,9.33
E14001061,Lab,14.09
E14001062,Con,24.36
N06000001,DUP,6.54
N06000002,DUP,13.12
N06000003,SDLP,2.33
N06000004,SF,33.31
N06000005,DUP,17.30
N06000006,DUP,22.48
N06000007,UUP,1.04
N06000008,SDLP,16.34
N06000009,DUP,32.67
N06000010,SF,33.28
N06000011,SF,8.37
N06000012,DUP,27.42
N06000013,Ind,28.45
N06000014,UUP,2.60
N06000015,SDLP,13.80
N06000016,DUP,30.02
N06000017,DUP,4.79
N06000018,SF,26.03
S14000001,SNP,30.49
S14000002,SNP,14.89
S14000003,SNP,19.82
S14000004,SNP,25.24
S14000005,SNP,16.33
S14000006,SNP,21.58
S14000007,SNP,31.43
S14000008,SNP,0.60
S14000009,SNP,11.24
S14000010,SNP,26.76
S14000011,SNP,22.69
S14000012,SNP,29.87
S14000013,SNP,11.51
S14000014,Con,1.53
S14000015,SNP,39.77
S14000016,SNP,38.23
S14000017,SNP,18.52
S14000018,SNP,3.95
S14000019,SNP,27.30
S14000020,SNP,11.53
S14000021,SNP,6.55
S14000022,SNP,19.34
S14000023,SNP,9.65
S14000024,Lab,5.35
S14000025,SNP,15.76
S14000026,SNP,5.85
S14000027,SNP,25.74
S14000028,SNP,32.65
S14000029,SNP,19.49
S14000030,SNP,24.49
S14000031,SNP,25.17
S14000032,SNP,24.36
S14000033,SNP,23.63
S14000034,SNP,25.15
S14000035,SNP,24.32
S14000036,SNP,29.20
S14000037,SNP,14.94
S14000038,SNP,24.80
S14000039,SNP,18.76
S14000040,SNP,25.30
S14000041,SNP,18.86
S14000042,SNP,18.28
S14000043,SNP,21.00
S14000044,SNP,29.27
S14000045,SNP,20.40
S14000046,SNP,18.39
S14000047,SNP,24.67
S14000048,SNP,25.20
S14000049,SNP,9.60
S14000050,SNP,17.57
S14000051,LD,3.59
S14000052,SNP,17.99
S14000053,SNP,12.30
S14000054,SNP,17.79
S14000055,SNP,12.26
S14000056,SNP,17.31
S14000057,SNP,20.10
S14000058,SNP,12.74
S14000059,SNP,27.71
W07000041,Lab,0.66
W07000042,Lab,7.82
W07000043,Lab,8.09
W07000044,Lab,5.60
W07000045,Lab,18.39
W07000046,Con,0.06
W07000047,Lab,20.01
W07000048,Lab,35.78
W07000049,Lab,33.13
W07000050,Lab,12.89
W07000051,Con,4.18
W07000052,Lab,23.64
W07000053,Lab,21.53
W07000054,Con,23.14
W07000055,Lab,13.40
W07000056,Lab,8.70
W07000057,PC,13.67
W07000058,Con,13.26
W07000059,Con,17.70
W07000060,Con,0.67
W07000061,PC,18.20
W07000062,Lab,6.85
W07000063,Con,15.77
W07000064,LD,8.20
W07000065,Con,12.25
W07000066,Con,15.00
W07000067,PC,14.21
W07000068,Con,12.73
W07000069,Lab,25.71
W07000070,Lab,30.87
W07000071,Lab,35.19
W07000072,Lab,40.09
W07000073,Lab,4.88
W07000074,Lab,37.00
W07000075,Lab,23.72
W07000076,Lab,25.01
W07000077,Lab,29.39
W07000078,Con,13.41
W07000079,Lab,15.50
W07000080,Lab,15.97
